Sample ID	OTZ number	sample	reads	Type	Cruise	platform	cast	deployment	depth	experiment	diel	unique_id	rep	depth_group2	depth_group	temp	oxy	sal	fluor
OTZ-12S-1603	OTZ-1603	EN688 C04 N5	56052	sample	EN688	ctd	4	C007	300	nighttime high-res		4_300							
OTZ-12S-1602	OTZ-1602	EN688 C04 N3	43867	sample	EN688	ctd	4	C007	399	nighttime high-res		4_399							
OTZ-12S-1601	OTZ-1601	EN688 C04 N2	62152	sample	EN688	ctd	4	C007	450	nighttime high-res		4_450							
OTZ-12S-1600	OTZ-1600	EN688 C04 N1	89491	sample	EN688	ctd	4	C007	501	nighttime high-res		4_501							
OTZ-12S-1625	OTZ-1625	EN688 C04 Ctrl	134570	control	EN688	ctd	4	C007	NA	nighttime high-res	night								
OTZ-12S-1636	OTZ-1636	EN688 C06 N22	160675	sample	EN688	ctd	6	C007	5	nightime low-res	night	6_5							
OTZ-12S-1635	OTZ-1635	EN688 C06 N20	151734	sample	EN688	ctd	6	C007	20	nightime low-res	night	6_20							
OTZ-12S-1634	OTZ-1634	EN688 C06 N18	82692	sample	EN688	ctd	6	C007	35	nightime low-res	night	6_35							
OTZ-12S-1633	OTZ-1633	EN688 C06 N16	1061	sample	EN688	ctd	6	C007	50	nightime low-res	night	6_50							
OTZ-12S-1632	OTZ-1632	EN688 C06 N14	132990	sample	EN688	ctd	6	C007	60	nightime low-res	night	6_60							
OTZ-12S-1631	OTZ-1631	EN688 C06 N12	81587	sample	EN688	ctd	6	C007	75	nightime low-res	night	6_75							
OTZ-12S-1630	OTZ-1630	EN688 C06 N10	157572	sample	EN688	ctd	6	C007	125	nightime low-res	night	6_125							
OTZ-12S-1629	OTZ-1629	EN688 C06 N8	95152	sample	EN688	ctd	6	C007	200	nightime low-res	night	6_200							
OTZ-12S-1628	OTZ-1628	EN688 C06 N6	117904	sample	EN688	ctd	6	C007	402	nightime low-res	night	6_402							
OTZ-12S-1627	OTZ-1627	EN688 C06 N4	92450	sample	EN688	ctd	6	C007	753	nightime low-res	night	6_753							
OTZ-12S-1626	OTZ-1626	EN688 C06 N2	104691	sample	EN688	ctd	6	C007	1001	nightime low-res	night	6_1001							
OTZ-12S-1637	OTZ-1637	EN688 C06 Ctrl	139507	control	EN688	ctd	6	C007	NA	nightime low-res	night								
OTZ-12S-1613	OTZ-1613	EN688 C07 N23	83600	sample	EN688	ctd	7	C007	5	daytime low-res		7_5							
