,0
d557d15dff69eea579b6cb252b1c7c8c,198.0
050a6aa9586bf348966a2a86dfd437b9,196.0
1be607a97dd5be63ec2a548f8611901c,196.0
450a926cbcec88b36699f1f7c85f4421,195.0
7231026352ab0b3c70ff93daf2017bb4,195.0
e2c9700ec333a2aaaee9f0f410372cbe,189.0
f6d7b514845c955227db05347309cc5c,183.0
586ae88dde1a3eb7ccdd767ab072877b,182.0
e02b92ca6d500b3beec898db13e92356,177.0
9cc20257b218b67c4c23d5fb592c2e0b,175.0
3d3cb70e680c1018641a9db0e92ea0e1,174.0
8061324f84ff2770f02874370a436645,173.0
46871f147cc6f2e6f6da56407213c035,168.0
fdea887c6a39aff312e9557019acea14,168.0
43282e2956f2b86b26d3e742be2d3a55,165.0
37fbde8cf8edac9d12cf20253da488de,164.0
ad5e1dc81f5e4ca41938c5bfad7fe01e,159.0
64c23a21c4813090eb260dabea48dc73,156.0
ee081352388aea9e14e40fc1ca2d6f7a,155.0
5a1bf8bd6aa275cee099dea6bf989e07,150.0
ef159d42da63bd96184ae19cd39f70a9,149.0
04d7bcb12758ad31a81281bc568ebe62,145.0
ea66f2c21d0f94e13a25bc78a88aede4,141.0
6c261f36286e8f182fceecb4c798b291,129.0
3dfd617867c739fa96b567e0f83f5a79,128.0
8ac15d956796f1d13e2a13500c40a524,125.0
dad10c2cb983bf586dd553ee65f7099b,123.0
02ff37334f005e7518269da46573fa25,120.0
61d2006ff70a2ea42dd173fa0244904e,118.0
0a2de7e900a6707120e06d4522ad2aa9,115.0
bc2375e63b213492f53e89462bfed033,113.0
bb5ae9b7c1402211ce526c1b8e9e588c,111.0
e06aacc38614bdfa8eac4f8c38210ad1,110.0
74ec02387943e557738c51162160e1d4,109.0
56ec996a50fd43649d5c526ef19e88d7,106.0
f2536050db61368e422fe65cebdbeaf2,104.0
7a33c07ddb6911a68f986d35b27f5ed9,102.0
e870a474a17aabe9926e796bbb661f5c,98.0
adc33baf1b09428a1110dc8c6d6a02e5,97.0
daaee4e60513fc0ce082e50b6a763d89,97.0
bff990bb1006dca1f0d7ade89a6e068e,92.0
3efbe8151a949c3991e7b36a737fbc28,81.0
25c2c45fbfea7f5f20ce13e29f3fcb3e,77.0
f7a753f97d8139ca77c7c6420cc4f75d,72.0
0c5cae15a5000f232d20fd9ea3de7c7c,72.0
38c00d60a67aa1296450004e88ce2390,72.0
065b9a1255a03f844103dab0be73df65,70.0
a3f5e8a66e435967c05fc87214c4d115,68.0
1a096a5aced125d14d7bd016f2b50549,68.0
1ffd88385fad412e59b0e4b239eda220,67.0
cbc7b17d2b240e1c155cb255f2d2b3fb,65.0
4d6d4626a5fcbe25e15e18860f7bbbef,65.0
25d3d9e23d6e043fb3d154de3fd63003,64.0
ed58102afaa0952ccb2a2cb2852e6439,63.0
79d5d93fab96067284a2287b9af83c0e,62.0
93e2886efc6558942294a2710cf2248f,62.0
32a8dec8fa435d43d4ed7ce1743bce8b,61.0
827c82491c397fd4e0c26458cc0be1ba,61.0
ec5db8f26a20fe879452130c7fcc2b8f,58.0
34fb7b0b1a9076e6737ae368be869397,56.0
baae7bd9670072d33eafb4c1ddf88bf2,54.0
9fe942c1b6f524a6183c48f0f9e08970,54.0
951dabf0d617a1f5815fa4aac7ae642d,54.0
477ec306913685fbaab08f35c258eeeb,50.0
20dd7f0c6b1baae8509dae53269d0945,50.0
b52677cfb25582bcb9bcd678ef76fd40,49.0
8c9b903eb46cb590ca0ff985fc33cf74,48.0
6f844bc3ac7d088a9bf778326eaf95aa,48.0
6f0db079507e7e3ab6d8a21a2ea454fa,48.0
17c6403d246da69a72a02df4054d1ab3,48.0
aa83a78270dfaaae4b2725e41a1e25d3,48.0
a294bcff5a21be467e541d3c7f881d05,47.0
9762dcf200543bcf2455b3be536fdd10,47.0
e242cd9939d0e7b163c22e0ac41baf9d,43.0
e1a18ef22f4ff54f667afd9df3ea4389,42.0
8073a3614e37e6d73408f137b101201b,42.0
c7d87419132b0eadc96f5a05f75d5fb1,41.0
55f702752f34d0c7f1456b664dda2095,40.0
3cefd8336ea014e8e747dbd6ef13ebdc,40.0
7ee243bc100148d08479b247e1722aa1,39.0
801d20a5bd4c0f8ddd45ae129842b0bc,37.0
5d9d318487d9efaafa7725500873769f,35.0
ab6b5745d3a1ad4821f49f4461eec1e8,34.0
80469602c24d775daaa0c7d7176aa5d8,34.0
970ba7424ee5c6886ad6f3c00f901d2d,34.0
6f09b8628f2ce6def877659c683126a8,33.0
b48d0f7d0116ab94b705e16733539bfa,33.0
a45e1c14b1044ba3b938bb6394d55cd5,32.0
bb4221cb366ab3569fed859a6d9785d0,31.0
39995029eb6e966abe44cece0a3c46b7,30.0
b1e6f699cfa63e026361434d858d728b,30.0
fe45f49e4b2929a1ad17276afa97cfe7,29.0
0ae74bd97502b189aa043c64c792345b,27.0
96b7c8838e22ef7c937edbcd4357eb60,27.0
c4f576a7cce5668fa26ae601c7ac1ae3,26.0
b8340222969eb765dbf2e38ae11213d6,26.0
7fad3abb93c7c3f49d20df7aafba499c,26.0
d2f64c40186993fb8d0bc0ac95d27640,26.0
850d1d20a40533a03a4559a25271592e,26.0
509939fa3d47056eea643fb30258e9ef,26.0
77976d510ff7975c4473553565a8f7d0,26.0
258d14ca3547f08ac2de380089eb36b6,25.0
8076eb165d45eb3b0935cd0e77453369,25.0
819774ce83d481c96733ddfe2bc6f95f,24.0
d216a30386682668a3dea278323e9fab,23.0
23b900b3953842501dcd26a17ee11def,23.0
7dca4c746e7e8d617919fc565a7a88a5,22.0
662e16432a806436df2f9ee5db1a9766,22.0
66fd0bc24ab5bfdac487761952d95eec,22.0
e0ae449711862248059490633d2d5f63,22.0
99623b32f88c7897c56f5fc24836e873,22.0
142014d4d801c9c7604590a3bba4610a,22.0
596f7aee4d438c15dce09e043c8a573f,21.0
b7d65ae7bdb12816179f3ba5394d9f30,21.0
f0267c2558fe429a686317f1142d945b,21.0
547ad36376fa8a9118c08be553cdbb38,21.0
aef2089e7465ccf18cb28177369491d9,21.0
552b0e9e5946d6d10cbf151206b095e2,21.0
ea889d8d91959f9dee0280046d1af6bc,20.0
d48429d4b57908d789c7c265eb760531,20.0
b213fccbe9f2faf2b6926e91b8d3c7f2,19.0
8cefb0793aa08ccbadff280d8ff9702b,19.0
0713b452baa1c1e61ab9b5af630b4673,19.0
fe5a4933a03fcdb6fbabcb6d9f64ceab,19.0
ff2b0b15022ebec5cd384ca608e7af9a,19.0
